match_id,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box
12580604,14,21,7,7,0,0,6,12,1,2,5,13,9,8
12580707,21,6,6,1,1,1,8,4,7,1,16,3,5,3
12580607,12,10,4,1,1,0,3,6,5,3,4,5,8,5
12402296,8,16,5,7,0,0,3,7,0,2,5,9,3,7
12402294,12,14,5,4,1,1,5,5,2,5,7,13,5,1
12402304,29,8,8,3,1,0,11,5,10,0,19,6,10,2
12407828,16,12,5,3,0,0,8,4,3,5,11,9,5,3
12407829,10,13,6,4,0,0,2,4,2,5,8,4,2,9
12407826,12,9,4,3,0,0,1,3,7,3,8,5,4,4
12407827,18,8,9,3,1,0,4,0,5,5,12,5,6,3
12656652,21,11,5,5,0,0,9,3,7,3,15,7,6,4
12991466,6,4,3,1,0,0,2,1,1,2,4,0,2,4
12991503,15,13,7,3,2,1,7,7,1,3,12,8,3,5
12014196,11,15,5,2,0,0,4,7,2,6,6,9,5,6
12014204,18,13,4,2,1,1,7,8,7,3,11,8,7,5
12014199,26,3,13,1,0,0,9,2,4,0,16,2,10,1
12014195,5,17,1,8,0,0,4,6,0,3,0,11,5,6
12744968,15,7,4,2,0,0,7,4,4,1,9,5,6,2
11928436,5,13,1,2,1,0,2,9,2,2,4,10,1,3
13016164,17,7,5,4,0,0,4,1,8,2,14,4,3,3
13016167,25,7,7,0,0,0,6,3,12,4,9,0,16,7
11912251,8,10,1,3,0,0,5,6,2,1,7,7,1,3
11912259,16,20,7,5,0,0,3,8,6,7,11,17,5,3
11912260,17,8,10,4,1,0,5,2,2,2,15,6,2,2
11912233,10,8,4,3,1,0,3,1,3,4,6,3,4,5
11912235,11,16,3,5,0,1,6,8,2,3,6,11,5,5
11912258,15,12,6,3,2,0,6,5,3,4,9,5,6,7
11912257,21,11,7,4,0,0,4,2,10,5,17,8,4,3
12831490,8,20,3,4,0,1,5,12,0,4,4,9,4,11
12831480,4,20,1,15,0,0,0,3,3,2,0,18,4,2
12831494,15,16,5,9,0,0,10,6,0,1,7,11,8,5
12831492,23,5,7,2,2,0,12,3,4,0,13,2,10,3
12831481,8,6,6,2,0,1,2,4,0,0,6,4,2,2
12831498,11,18,2,4,0,0,6,8,3,6,6,7,5,11
12831500,18,4,3,2,0,0,12,2,3,0,8,3,10,1
12489710,11,10,0,4,0,1,9,3,2,3,7,9,4,1
12489715,22,9,5,3,0,0,14,2,3,4,11,7,11,2
12489714,8,18,2,6,0,2,5,7,1,5,2,13,6,5
12489713,8,28,4,7,0,0,2,8,2,13,5,14,3,14
11907444,16,4,5,2,0,1,5,1,6,1,8,4,8,0
11907450,14,6,4,2,0,0,6,2,4,2,9,6,5,0
11907447,20,10,4,2,0,0,6,5,10,3,13,5,7,5
11907445,19,22,5,7,0,0,10,8,4,7,12,9,7,13
11907446,14,9,6,1,0,0,4,5,4,3,8,5,6,4
12439860,12,9,3,3,2,1,8,4,1,2,10,6,2,3
12439861,7,18,3,4,0,0,3,6,1,8,5,10,2,8
12439858,15,15,2,7,0,0,6,5,7,3,7,11,8,4
12662014,9,3,3,0,1,0,4,2,2,1,6,3,3,0
12662012,12,4,3,0,0,0,7,3,2,1,9,3,3,1
13022369,13,8,7,2,1,0,4,2,2,4,7,4,6,4
13008825,16,10,5,5,1,0,5,4,6,1,7,9,9,1
12453008,14,25,4,8,0,0,5,8,5,9,12,19,2,6
12453110,12,13,5,4,0,0,5,6,2,3,8,9,4,4
12453112,9,13,5,6,0,1,2,4,2,3,4,9,5,4
12065761,11,10,5,4,0,0,6,4,0,2,6,3,5,7
12065762,18,14,5,5,1,0,5,8,7,1,5,9,13,5
12065760,17,4,6,1,0,0,10,2,1,1,10,2,7,2
