match_id,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_goals_prevented,away_goals_prevented,home_high_claims,away_high_claims,home_big_saves,away_big_saves,home_punches,away_punches
12489714,4,1,12,5,,,,,,,,
12489713,5,1,12,5,,,,,,,,
11907444,1,3,7,5,,,,,,,,
11907450,0,4,2,9,,,,,,,,
11907447,1,4,10,12,,,,,1,1,,
11907445,6,2,8,8,,,,,1,1,,
11907446,0,4,7,9,,,,,,,,
12439860,1,1,8,8,,,,,,,,
12439861,4,1,11,3,,,,,,,,
12439858,4,1,8,9,,,,,,,,
12662014,0,3,5,8,,,,,,,,
12662012,0,2,5,11,,,,,,,,
13022369,0,5,7,8,,,,,,,,
13008825,3,5,7,8,,,,,,,,
12453008,4,2,9,9,,,,,,,,
12453110,3,4,6,6,,,,,,,,
12453112,4,3,5,3,,,,,,,,
12065761,3,5,6,9,,,,,,,,
12065762,4,4,6,6,,,,,,,,
12065760,0,5,5,12,,,,,,,,
12776232,8,6,11,4,,,,,,,1,1
12773388,2,5,12,3,,,,,,,,
12773385,2,6,12,9,,,,,1,2,,
12497536,0,2,8,10,,,3,1,,,,
12765324,4,1,17,5,,,,,,,,
12765325,2,2,7,9,,,,,,,,
12448681,1,1,11,9,,,,,,,,
12448692,4,4,13,12,,,1,3,,,,
13011670,3,4,8,5,,,,,,,,
12448762,1,2,2,13,,,,,,,,
12448764,5,3,7,12,,,,,,,,
12448767,3,1,9,5,,,,,,,,
12449217,9,4,11,11,,,,,1,2,,
12449215,4,4,8,9,,,1,2,,,,
11973094,2,1,11,11,,,,,,,,
11973085,3,2,8,9,,,,,,,,
11973088,3,6,8,13,,,,,,,,
11973103,3,6,6,12,,,,,,,,
11973090,3,1,8,7,,,1,1,,,,
11973091,5,3,6,7,,,,,,,,
11973086,2,3,5,12,,,1,1,,,,
11973093,0,0,5,13,,,,,,,,
11973087,2,1,6,14,,,,,,,,
11973092,5,3,15,14,,,,,,,,
12586168,2,2,4,4,,,,,,,,
12586173,3,6,3,16,,,,,,,,
12753021,4,6,6,14,,,,,,,,
12753032,4,1,3,8,,,1,2,,,,
12753017,0,7,6,14,,,,,,,,
12753012,3,5,4,13,,,,,,,,
13019034,2,3,2,9,,,,,,,,
13019043,6,4,8,5,,,,,,,,
12425088,2,3,7,3,,,,,,,,
13029521,2,6,8,8,,,,,,,,
13041742,0,3,7,3,,,,,,,,
12447865,1,3,15,5,,,,,,,,
12447858,4,1,7,8,,,1,1,,,,
12497309,2,3,3,9,,,1,1,,,,
12497312,4,2,4,2,,,,,,,,
12497319,2,1,15,4,,,2,1,,,,
12497311,8,0,8,5,,,,,,,,
12497305,2,2,6,6,,,,,,,,
12451610,2,5,10,0,,,,,,,,
12442027,3,4,4,2,,,,,,,,
12463379,2,3,1,10,,,,,,,,
11990387,7,7,3,4,,,,,,,,
13008765,0,8,3,15,,,,,,,,
11989125,4,4,8,4,,,,,,,,
11989123,3,0,12,3,,,,,,,,
11989126,2,2,7,9,,,,,,,,
12525926,6,2,6,3,,,,,,,,
12525929,2,3,6,2,,,,,,,,
12525932,5,3,3,9,,,,,,,,
12868396,4,2,5,4,,,,,,,,
12650996,7,4,12,13,,,,,,,,
12651004,2,0,1,9,,,,,,,,
12598357,1,9,1,7,,,,,,,,
12598360,5,4,7,4,,,,,,,,
12598355,6,1,5,1,,,,,,,,
12177173,1,1,11,5,,,,,,,,
12177177,4,4,6,12,,,,,,,,
12085473,2,5,5,8,,,,,,,,
12085469,2,0,12,1,,,,,,,,
12444644,1,4,8,8,,,,,,,,
12444645,3,0,7,8,,,,,,,,
12444663,1,3,8,14,,,,,,,,
12963363,2,4,6,3,,,,,,,,
12963291,1,4,8,7,,,,,,,,
12590279,2,2,10,5,,,,,,,,
12590273,5,1,18,8,,,,,,,,
12531981,8,2,11,2,,,1,2,,,,
12531969,1,8,7,7,,,,,,,,
12969196,3,2,12,5,,,,,,,,
12472158,2,2,10,5,,,,,,,,
12448838,2,3,7,5,,,,,,,,
12448841,3,2,8,7,,,,,,,,
12448840,1,2,7,14,,,,,,,,
12518422,6,3,4,8,,,3,1,,,1,1
12518425,6,2,9,6,,,,,,,,
12518416,0,3,7,9,,,,,,,,
13019039,5,4,6,9,,,2,1,,,,
12923109,1,3,3,11,,,,,,,,
12923104,3,2,12,7,,,,,,,,
12246983,7,6,14,0,,,,,,,,
12246985,1,3,2,13,,,,,,,,
12484257,1,2,13,5,,,,,,,,
12484258,3,1,3,10,,,,,,,,
12484255,1,5,3,6,,,,,,,,
12196916,2,2,11,2,,,,,,,,
12196973,0,2,9,13,,,2,1,,,,
12199061,4,2,10,10,,,,,,,,
12442133,0,4,3,2,,,,,,,,
12442134,1,7,5,4,,,,,,,,
12484433,1,6,5,2,,,,,,,,
12484437,5,1,2,6,,,,,,,,
13014309,3,3,6,9,,,,,,,5,1
13014303,0,1,9,7,,,3,2,,,,
12694137,1,1,6,6,,,,,,,,
12694134,2,6,0,5,,,,,,,,
12698547,4,3,9,12,,,,,,,,
12454752,7,1,13,2,,,3,1,,,,
12454757,5,4,7,13,,,2,1,,,,
12650088,2,2,2,7,,,1,3,,,,
13023005,4,4,17,10,,,,,,,,
13006575,3,5,1,10,,,,,1,2,1,1
12437611,1,1,18,1,0.07,0.28,1,2,,,,
12499348,2,3,6,6,-0.88,0.43,1,1,1,1,,
12499354,1,5,7,7,0.04,1.04,,,,,,
12499355,2,5,5,12,-0.62,0.83,,,,,,
12900855,2,6,9,6,,,,,,,1,1
12970179,4,2,18,7,,,,,,,,
12970160,1,0,11,9,,,,,,,2,1
12970153,6,1,10,1,,,,,,,,
12970192,2,1,8,2,,,,,,,,
12970193,4,4,11,1,,,,,,,,
12970166,2,0,8,2,,,,,,,,
12970187,4,2,7,1,,,,,,,,
12375376,3,6,3,13,0.37,1.82,,,1,2,,
12514057,2,1,6,4,-1.52,0.13,,,,,,
12117282,2,5,4,6,-0.09,0.89,,,,,,
12117278,5,5,7,3,0.44,-0.05,2,1,,,1,1
12530874,3,4,5,5,-0.32,0.76,1,2,,,,
12530880,1,4,6,10,-0.04,0.26,1,2,,,,
12904468,0,2,2,10,,,,,,,,
12904463,4,4,6,15,,,,,,,,
