match_id,home_accurate_passes,away_accurate_passes,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_throw-ins,away_throw-ins,home_final_third_phase,away_final_third_phase
11937368,565,57,98,39,37/51 (73%),19/66 (29%),13/61 (21%),2/9 (22%),28,13,213/252 (85%),24/53 (45%)
11937367,261,247,63,64,23/55 (42%),25/65 (38%),11/26 (42%),3/15 (20%),24,24,100/147 (68%),54/103 (52%)
11937369,417,181,58,37,25/52 (48%),9/31 (29%),7/26 (27%),2/6 (33%),18,24,72/105 (69%),43/73 (59%)
11937364,318,224,63,59,33/62 (53%),29/78 (37%),8/29 (28%),5/23 (22%),19,19,72/122 (59%),51/107 (48%)
11937363,231,406,52,53,32/63 (51%),21/39 (54%),9/22 (41%),6/19 (32%),21,18,45/91 (49%),79/103 (77%)
12420572,356,372,68,59,27/60 (45%),41/75 (55%),6/38 (16%),1/7 (14%),24,13,91/136 (67%),65/97 (67%)
12420577,471,312,80,49,34/63 (54%),41/68 (60%),7/27 (26%),2/7 (29%),30,22,94/139 (68%),72/99 (73%)
12420575,373,281,44,43,38/74 (51%),21/46 (46%),3/13 (23%),4/17 (24%),32,18,110/137 (80%),57/87 (66%)
12404865,552,214,97,34,34/60 (57%),19/57 (33%),2/17 (12%),2/11 (18%),25,15,134/179 (75%),24/44 (55%)
12404864,283,328,49,53,22/60 (37%),25/54 (46%),2/8 (25%),3/20 (15%),10,26,47/90 (52%),70/111 (63%)
12420443,235,395,35,44,27/56 (48%),29/58 (50%),2/15 (13%),4/13 (31%),20,17,50/74 (68%),88/130 (68%)
12420434,446,289,99,44,30/61 (49%),25/70 (36%),7/31 (23%),3/7 (43%),20,19,128/187 (68%),35/70 (50%)
13010882,435,323,44,49,36/56 (64%),24/45 (53%),6/22 (27%),5/19 (26%),16,14,143/172 (83%),96/129 (74%)
13022403,429,452,47,59,28/58 (48%),29/47 (62%),4/11 (36%),2/15 (13%),12,22,84/113 (74%),78/120 (65%)
13010885,282,283,50,47,18/52 (35%),15/43 (35%),5/12 (42%),3/16 (19%),26,15,104/147 (71%),86/117 (74%)
13010890,419,355,68,34,25/39 (64%),22/48 (46%),10/34 (29%),5/13 (38%),17,8,154/194 (79%),64/84 (76%)
12468905,439,436,54,61,21/44 (48%),15/46 (33%),2/12 (17%),3/19 (16%),10,19,76/113 (67%),135/171 (79%)
12467660,252,455,42,73,29/67 (43%),31/57 (54%),3/7 (43%),4/36 (11%),19,33,53/89 (60%),108/145 (74%)
12467662,426,339,58,42,32/80 (40%),19/50 (38%),8/26 (31%),3/9 (33%),35,17,87/129 (67%),86/122 (70%)
12467655,520,273,65,36,22/38 (58%),21/55 (38%),9/38 (24%),1/13 (8%),14,10,182/209 (87%),45/66 (68%)
12617262,400,302,67,43,20/49 (41%),23/56 (41%),9/44 (20%),3/17 (18%),22,18,126/173 (73%),70/103 (68%)
12467661,101,566,39,74,19/53 (36%),21/41 (51%),1/8 (13%),11/36 (31%),15,21,28/55 (51%),172/207 (83%)
12467658,416,297,68,35,39/55 (71%),26/62 (42%),10/40 (25%),6/12 (50%),12,20,110/155 (71%),49/76 (64%)
12467664,327,172,58,56,25/60 (42%),17/47 (36%),9/27 (33%),1/12 (8%),27,25,46/83 (55%),46/86 (53%)
12500376,505,154,98,57,43/79 (54%),9/58 (16%),3/24 (13%),5/14 (36%),20,14,138/193 (72%),42/87 (48%)
12500363,579,217,69,38,33/47 (70%),23/61 (38%),9/25 (36%),1/12 (8%),14,15,127/162 (78%),42/77 (55%)
12500379,433,313,64,50,33/69 (48%),24/66 (36%),6/24 (25%),1/16 (6%),18,26,53/89 (60%),37/76 (49%)
12527732,444,344,43,42,26/46 (57%),19/35 (54%),0/6 (0%),5/24 (21%),19,10,58/87 (67%),87/113 (77%)
12527736,146,422,45,57,22/72 (31%),22/35 (63%),6/18 (33%),13/37 (35%),17,10,44/78 (56%),126/151 (83%)
