match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12477081,36%,64%,4,2,12,11,1,5,1,6,11,12,289,519,12,14,11,11,2,3,,,,
12477080,22%,78%,0,3,9,20,6,2,3,10,11,9,215,769,12,19,8,10,1,2,,,1,0
12477079,74%,26%,4,2,16,8,2,5,7,3,10,9,609,210,15,24,9,9,2,2,,,,
11937370,34%,66%,2,0,8,23,5,1,2,13,7,11,210,390,19,17,10,6,5,4,1.12,1.11,1,0
11937373,45%,55%,3,2,9,12,1,2,1,5,8,11,327,406,29,15,9,7,0,1,1.08,1.31,,
11937368,84%,16%,6,3,23,6,4,9,11,2,9,14,628,124,6,19,14,8,1,3,2.15,1.28,1,0
11937367,51%,49%,6,0,22,10,0,4,11,2,14,9,347,344,15,15,8,14,1,4,2.53,0.45,,
11937369,67%,33%,3,1,11,11,2,4,9,1,8,16,485,242,14,13,16,8,3,2,1.32,0.79,,
11937364,57%,43%,2,3,14,17,2,1,4,4,7,8,420,328,15,13,6,7,1,1,1.81,1.98,,
11937363,41%,59%,1,1,14,15,3,4,6,3,16,11,320,477,19,16,11,16,3,3,1.27,0.66,1,0
12420572,50%,50%,0,4,23,13,5,6,13,3,13,17,431,455,14,17,17,12,1,0,,,,
12420577,59%,41%,1,6,18,13,2,7,4,3,12,14,542,383,13,14,14,11,1,1,,,,
12420575,55%,45%,4,2,13,10,3,4,6,6,9,11,445,346,17,22,11,9,1,3,,,,
12404865,68%,32%,5,1,14,10,1,4,4,2,11,9,641,299,16,14,9,10,3,1,1.59,1.95,,
12404864,47%,53%,0,1,10,16,2,2,4,10,10,16,372,416,9,14,16,10,2,2,0.91,1.76,,
12420443,41%,59%,2,4,7,14,2,3,4,5,15,19,326,483,24,10,19,13,2,2,,,,
12420434,59%,41%,2,1,23,3,0,5,8,1,20,19,545,394,15,12,18,19,1,3,,,,
13010882,56%,44%,2,2,17,9,2,4,8,4,9,10,492,381,12,11,10,8,1,0,1.58,0.81,0,1
13022403,49%,51%,2,1,15,15,3,2,5,3,12,16,508,529,12,11,14,12,2,2,1.75,1.11,,
13010885,50%,50%,6,0,22,6,2,6,9,5,20,13,373,368,16,23,12,20,2,2,3.40,0.32,0,1
13010890,54%,46%,1,1,19,7,0,2,8,1,12,15,479,420,16,12,15,11,4,1,1.00,0.45,0,1
12468905,50%,50%,2,5,9,14,5,1,3,2,15,7,518,520,17,15,7,15,2,3,1.10,3.86,1,0
12467660,38%,62%,2,0,10,14,4,4,0,6,15,13,341,543,17,16,11,14,1,4,,,,
12467662,56%,44%,3,4,15,11,4,2,10,3,12,9,523,425,17,23,8,12,2,0,,,,
12467655,63%,37%,2,0,20,6,3,7,12,3,13,11,583,345,21,28,11,13,2,2,,,,
12617262,57%,43%,5,2,22,9,3,7,12,5,5,8,483,381,15,17,7,4,2,3,,,,
12467661,21%,79%,2,3,9,23,3,1,1,7,13,11,168,636,13,13,10,12,2,2,,,1,0
12467658,58%,42%,3,3,17,12,6,4,3,7,13,16,484,364,15,6,15,12,1,0,,,,
12467664,62%,38%,1,2,8,10,4,3,9,2,7,21,402,248,8,10,19,7,3,2,,,1,0
12500376,71%,29%,2,1,20,11,2,6,10,3,9,17,619,247,17,20,17,9,3,3,,,,
12500363,69%,31%,0,2,16,6,3,4,4,2,9,14,652,299,10,14,14,9,2,3,,,,
12500379,57%,43%,,,9,8,3,1,2,4,8,16,530,409,18,19,16,8,2,2,,,,
