match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12407828,13,21,8,6,48,49,37,32,69%,62%,,,,
12407829,14,11,9,9,51,49,35,8,64%,91%,,,,
12407826,16,17,8,2,46,46,43,20,56%,94%,,,,
12407827,11,14,12,8,60,49,38,12,36%,71%,,,,
12656652,20,15,11,10,57,54,16,23,80%,47%,,,,
12991466,13,14,6,9,38,40,26,8,54%,79%,,,,
12991503,8,16,4,2,46,43,14,11,100%,63%,,,,
12014196,17,14,13,14,59,58,14,19,59%,86%,,,,
12014204,16,9,9,6,43,39,7,34,81%,56%,,,,
12014199,20,17,6,4,56,38,6,17,75%,71%,,,,
12014195,11,8,4,10,48,58,9,6,73%,75%,,,,
12744968,17,10,9,9,45,45,7,21,82%,80%,,,,
11928436,29,21,10,13,39,48,25,13,55%,76%,,,,
13016164,4,3,10,10,,,19,34,,,5,5,,
13016167,1,1,6,15,,,7,37,,,4,2,,
11912251,15,10,9,7,52,42,10,33,73%,70%,,,,
11912259,17,22,16,13,56,67,23,31,65%,59%,,,,
11912260,12,13,12,6,53,40,16,26,83%,62%,1,1,,
11912233,26,10,11,10,44,44,14,17,73%,80%,,,,
11912235,20,12,5,7,41,41,15,10,55%,42%,,,,
11912258,17,22,6,11,50,51,20,19,53%,68%,,,,
11912257,20,24,4,8,46,46,15,37,60%,67%,,,,
12831490,15,9,7,3,24,45,29,16,67%,67%,,,,
12831480,8,10,5,3,25,39,12,13,63%,70%,,,,
12831494,7,11,1,6,33,31,8,7,86%,73%,,,,
12831492,5,10,2,9,34,33,11,26,100%,80%,,,,
12831481,17,8,3,2,49,37,10,15,94%,75%,,,,
12831498,17,3,2,7,30,33,42,13,94%,67%,,,,
12831500,10,8,8,7,43,33,4,20,100%,75%,,,,
12489710,10,17,12,8,45,36,40,27,60%,53%,,,,
12489715,21,22,4,5,66,55,12,35,48%,77%,,,,
12489714,19,16,4,5,48,59,31,19,63%,75%,,,,
12489713,14,8,8,2,38,53,53,4,57%,75%,,,,
11907444,28,12,12,15,57,53,34,21,64%,83%,1,1,,
11907450,18,20,2,17,53,51,14,44,72%,55%,,,,
11907447,20,14,7,18,48,57,17,24,60%,71%,,,,
11907445,21,14,11,9,55,51,28,29,81%,57%,,,,
11907446,12,28,2,5,49,43,22,50,67%,54%,,,,
12439860,20,18,16,6,51,47,16,15,65%,61%,,,,
12439861,16,8,5,4,50,55,26,12,44%,88%,,,,
12439858,25,22,15,17,62,62,26,30,64%,64%,,,,
12662014,12,17,9,16,54,41,14,23,67%,71%,,,,
12662012,14,12,11,8,39,39,22,14,64%,50%,,,,
13022369,24,24,9,6,73,62,13,26,67%,58%,,,,
13008825,29,24,11,6,59,62,8,32,41%,83%,,,,
12453008,22,13,13,14,54,60,19,22,55%,31%,,,,
12453110,9,17,11,11,40,49,12,30,44%,76%,,,,
12453112,11,19,12,12,51,52,24,32,55%,47%,,,,
12065761,8,9,19,22,,,2,10,,,2,3,,
12065762,4,7,22,21,,,5,19,,,2,1,,
12065760,1,3,22,15,,,11,13,,,2,5,,
12776232,5,22,12,8,49,58,22,21,80%,64%,,,,
12773388,19,15,5,10,43,44,27,22,68%,80%,,,,
12773385,19,14,4,17,47,50,11,12,63%,71%,,,,
12497536,5,13,9,3,31,29,14,24,80%,85%,,,,
12765324,10,17,5,8,27,45,37,2,100%,82%,,,,
12765325,8,11,9,10,31,34,17,8,75%,91%,,,,
12448681,26,27,10,2,55,59,19,12,69%,85%,,,,
12448692,19,25,17,7,53,65,20,20,79%,68%,,,,
13011670,18,17,9,4,54,51,19,13,72%,76%,1,2,,
12448762,14,32,3,12,56,58,9,35,71%,63%,,,,
12448764,23,25,10,7,64,68,20,26,57%,56%,,,,
12448767,34,18,19,7,50,61,30,13,65%,78%,,,,
